ID,Description,Active,x,y,z,Calibration
28-00000775f069,waterproof_p,1,na,na,na,na
28-000007759286,waterproof_p,1,na,na,na,na
28-000007affd64,waterproof_p,1,na,na,na,na
28-000007ae6dbf,waterproof_p,1,na,na,na,na
28-000007a78754,waterproof_p,1,na,na,na,na
28-000007aa9db6,waterproof_p,1,na,na,na,na
28-000007a74ba2,waterproof_p,1,na,na,na,na
28-000007ae1aba,waterproof_p,1,na,na,na,na
28-000007a6f857,waterproof_p,1,na,na,na,na
28-0000074baf89,waterproof_p,0,na,na,na,na
28-0000074cc675,waterproof_p,0,na,na,na,na
28-0000074c44e1,waterproof_p,0,na,na,na,na
28-0000074c56a2,waterproof_p,0,na,na,na,na
28-0000074c4bc5,waterproof_p,0,na,na,na,na
28-0000074bac45,waterproof_p,0,na,na,na,na
28-0000074d2b81,waterproof_p,0,na,na,na,na
28-0000074bfa10,waterproof_p,0,na,na,na,na
28-0000074ba30c,waterproof_p,0,na,na,na,na

